date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:00	111/111	U-----	200	untouched ('OK')	text/plain	etag:%2275-61d6a5b474246-gzip%22	https://grandunity.co.th/robots.txt		(from )
16:52:05	881/881	U--M-Z	200	updated ('OK')	text/html	etag:%22371-61d6a5b4638a5-gzip%22	https://grandunity.co.th/th/denim-jatujak?utm_source=google&utm_medium=cpc&utm_campaign=hl-search&gad_source=1&gclid=EAIaIQobChMIp--U1OOIigMVxSeDAx0cUh4xEAAYASAAEgIMPvD_BwE	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/th/denim-jatujak2baf.html	(from )
16:52:10	16356/16356	U--M-Z	200	updated ('OK')	text/css	etag:%223fe4-61d6a5b55b972-gzip%22	https://grandunity.co.th/css/chunk-vendors.ced4cde7.css	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/css/chunk-vendors.ced4cde7.css	(from https://grandunity.co.th/th/denim-jatujak?utm_source=google&utm_medium=cpc&utm_campaign=hl-search&gad_source=1&gclid=EAIaIQobChMIp--U1OOIigMVxSeDAx0cUh4xEAAYASAAEgIMPvD_BwE)
16:52:11	2918/2918	U-----	200	untouched ('')	image/png	etag:%22b66-61d6a5b474246%22	https://grandunity.co.th/favicon.png	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/favicon.png	(from https://grandunity.co.th/th/denim-jatujak?utm_source=google&utm_medium=cpc&utm_campaign=hl-search&gad_source=1&gclid=EAIaIQobChMIp--U1OOIigMVxSeDAx0cUh4xEAAYASAAEgIMPvD_BwE)
16:52:11	85799/85799	U--M-Z	200	updated ('OK')	application/javascript	etag:%2214f27-61d6a5ba80fda-gzip%22	https://grandunity.co.th/js/app.1c221f1f.js	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/js/app.1c221f1f.js	(from https://grandunity.co.th/th/denim-jatujak?utm_source=google&utm_medium=cpc&utm_campaign=hl-search&gad_source=1&gclid=EAIaIQobChMIp--U1OOIigMVxSeDAx0cUh4xEAAYASAAEgIMPvD_BwE)
16:52:15	921701/921701	U--MCZ	200	updated ('OK')	application/javascript	etag:%22e1065-61d6a5bc367f1-gzip%22	https://grandunity.co.th/js/chunk-vendors.68bcdc9c.js	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/js/chunk-vendors.68bcdc9c.js	(from https://grandunity.co.th/th/denim-jatujak?utm_source=google&utm_medium=cpc&utm_campaign=hl-search&gad_source=1&gclid=EAIaIQobChMIp--U1OOIigMVxSeDAx0cUh4xEAAYASAAEgIMPvD_BwE)
16:52:16	576422/576422	U--MCZ	200	updated ('OK')	text/css	etag:%228cba6-61d6a5b535810-gzip%22	https://grandunity.co.th/css/app.bc0004c2.css	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/css/app.bc0004c2.css	(from https://grandunity.co.th/th/denim-jatujak?utm_source=google&utm_medium=cpc&utm_campaign=hl-search&gad_source=1&gclid=EAIaIQobChMIp--U1OOIigMVxSeDAx0cUh4xEAAYASAAEgIMPvD_BwE)
16:52:22	4178/4178	U-----	200	untouched ('')	image/gif	etag:%221052-61d6a5b83229a%22	https://grandunity.co.th/img/ajax-loader.c5cd7f53.gif	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/img/ajax-loader.c5cd7f53.gif	(from https://grandunity.co.th/css/app.bc0004c2.css)
16:52:22	575853/575853	U-----	200	untouched ('')	image/png	etag:%228c96d-61d6a5b87d5be%22	https://grandunity.co.th/img/building.61bb329e.png	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/img/building.61bb329e.png	(from https://grandunity.co.th/css/app.bc0004c2.css)
16:52:22	228699/228699	U-----	200	untouched ('')	image/png	etag:%2237d5b-61d6a5b814dd8%22	https://grandunity.co.th/img/building-mobile.8957bb41.png	d:/My%20Web%20Sites/https___grandunity.co.th/grandunity.co.th/img/building-mobile.8957bb41.png	(from https://grandunity.co.th/css/app.bc0004c2.css)
